epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,113.754,1.0208,0.92544,1.2544,0.86125,0.79071,0.81497,0.52776,0.80301,0.72332,1.14088,0.000462281,0.000462281,0.000462281
43,116.439,0.95976,0.8477,1.19439,0.84621,0.76377,0.80679,0.54265,0.88742,0.86428,1.2093,0.000438703,0.000438703,0.000438703
44,119.093,0.95819,0.83415,1.19517,0.76636,0.78096,0.84158,0.54639,0.95826,0.91268,1.27324,0.000415124,0.000415124,0.000415124
45,121.752,0.92849,0.76849,1.15163,0.82371,0.76787,0.80269,0.51581,0.93961,0.96683,1.2809,0.000391546,0.000391546,0.000391546
46,124.402,0.95989,0.75578,1.21385,0.80375,0.77472,0.74566,0.54518,0.86175,0.79261,1.21148,0.000367967,0.000367967,0.000367967
47,127.105,0.91928,0.75097,1.15655,0.78976,0.77381,0.79974,0.56215,0.85568,0.82505,1.20495,0.000344389,0.000344389,0.000344389
48,129.776,0.9167,0.75822,1.17105,0.75878,0.85273,0.86035,0.60073,0.85528,0.87475,1.19035,0.00032081,0.00032081,0.00032081
49,132.439,0.90439,0.72684,1.1838,0.79755,0.86905,0.85227,0.59402,0.7863,0.77526,1.17894,0.000297232,0.000297232,0.000297232
50,135.084,0.92448,0.74321,1.17367,0.78129,0.86949,0.83737,0.61318,0.82253,0.78375,1.17783,0.000273654,0.000273654,0.000273654
51,154.545,0.71756,0.55959,1.04962,0.80157,0.86486,0.85441,0.5833,0.75869,0.62945,1.12257,0.000250075,0.000250075,0.000250075
52,157.169,0.66757,0.48532,1.02078,0.80629,0.78459,0.8156,0.56424,0.82733,0.62878,1.14631,0.000226497,0.000226497,0.000226497
53,159.81,0.66252,0.46018,1.05542,0.86973,0.84994,0.91379,0.57499,0.81328,0.76396,1.15272,0.000202918,0.000202918,0.000202918
54,162.439,0.66017,0.68346,1.02936,0.84423,0.82546,0.87903,0.55212,0.84014,0.87494,1.16326,0.00017934,0.00017934,0.00017934
55,165.075,0.66747,0.49676,1.01228,0.87919,0.85771,0.90246,0.59113,0.81051,0.7296,1.12815,0.000155761,0.000155761,0.000155761
56,167.706,0.62165,0.44671,0.98132,0.9115,0.84139,0.90661,0.6089,0.77422,0.77269,1.1169,0.000132183,0.000132183,0.000132183
57,170.394,0.63825,0.44529,1,0.90856,0.75874,0.86325,0.60753,0.77713,0.83322,1.12365,0.000108604,0.000108604,0.000108604
58,173.075,0.64153,0.44075,1.00326,0.69736,0.83073,0.80565,0.57118,0.78379,0.8014,1.12035,8.50255e-05,8.50255e-05,8.50255e-05
59,175.736,0.61963,0.45382,1.0014,0.93634,0.76874,0.84992,0.59228,0.79335,0.80109,1.12474,6.1447e-05,6.1447e-05,6.1447e-05
60,178.378,0.58694,0.40046,0.95718,0.93097,0.84295,0.89361,0.62869,0.78215,0.77252,1.11495,3.78685e-05,3.78685e-05,3.78685e-05
